From,To,Relation,Relation_details,Actor_A_OCgroupmemberships,Actor_B_OCgroupmemberships
68,125,Co-Offenders,btb: cocaine trafficking,"G15, G78","G13, G15, G16"
68,125,Legitimate,director ,"G15, G78","G13, G15, G16"
69,125,Co-Offenders,btb: cocaine trafficking,"G15, G78",G15
69,125,Legitimate,director,"G15, G78",G15
127,796,Associate/Friendship,associate,G44,NONE
127,796,Formal Criminal Organization,,G44,NONE
127,2099,Formal Criminal Organization,,G44,NONE
127,751,Formal Criminal Organization,,G44,G44
128,656,Co-Offenders,btb installing secret compartments into vehicles,G133,G133
128,988,Co-Offenders,btb installing secret compartments into vehicles,G133,G133
128,1133,Co-Offenders,btb installing secret compartments into vehicles,G133,G133
128,1635,Co-Offenders,btb installing secret compartments into vehicles,G133,G133
128,1992,Co-Offenders,btb installing secret compartments into vehicles,G133,G133
128,656,Legitimate,employee,G133,G133
128,988,Legitimate,employee,G133,G133
128,1133,Legitimate,employee,G133,G133
128,1635,Legitimate,co-owners,G133,G133
128,1992,Legitimate,employee,G133,G133
128,983,Co-Offenders,btb installing secret compartments into vehicles,G133,G186
128,983,Legitimate,employee,G133,G186
131,320,Co-Offenders,"Marihuana, cocaine, extortion, prostitution, B&E",G180,G180
131,930,Co-Offenders,"Marihuana, cocaine, extortion, prostitution, B&E",G180,G180
131,1779,Co-Offenders,"Marihuana, cocaine, extortion, prostitution, B&E",G180,G180
131,320,Formal Criminal Organization,,G180,G180
131,930,Formal Criminal Organization,,G180,G180
131,1779,Formal Criminal Organization,,G180,G180
134,993,Co-Offenders,firearms supplied by 135,G56,G56
134,1025,Co-Offenders,machine guns,G56,G56
136,1652,Co-Offenders,drop of marihuana btb orchestrated,G100,G100
136,1783,Co-Offenders,marihuana drop,G100,G100
136,1573,Co-Offenders,drop of marihuana btb orchestrated,G100,"G95, G100"
137,1052,Co-Offenders,btb supplied heroin,G89,G78
86,145,Associate/Friendship,was close associate,G66,"G23, G40, G43"
86,145,Formal Criminal Organization,,G66,"G23, G40, G43"
85,145,Associate/Friendship,passenger in vehicle,G66,"G23, G40, G43, G111"
85,145,Formal Criminal Organization,,G66,"G23, G40, G43, G111"
145,1350,Associate/Friendship,was close associate,G66,"G23, G41, G66, G89"
145,1350,Formal Criminal Organization,,G66,"G23, G41, G66, G89"
149,573,Associate/Friendship,Associate,G135,G127
149,573,Co-Offenders,btb ‘hitman” for 574,G135,G127
150,302,Co-Offenders,Cocaine source,NONE,NONE
150,476,Co-Offenders,Cocaine source,NONE,NONE
150,602,Co-Offenders,Drugs,NONE,NONE
150,1009,Co-Offenders,Drugs,NONE,NONE
155,1175,Co-Offenders,,G37,G31
155,1175,Formal Criminal Organization,,G37,G31
155,409,Co-Offenders,same cell,G37,G37
155,468,Co-Offenders,same cell,G37,G37
155,473,Co-Offenders,same cell,G37,G37
155,571,Co-Offenders,same cell,G37,G37
155,1065,Co-Offenders,same cell,G37,G37
155,1775,Co-Offenders,same cell,G37,G37
155,1913,Co-Offenders,same cell,G37,G37
155,2131,Co-Offenders,same cell,G37,G37
155,409,Formal Criminal Organization,,G37,G37
155,468,Formal Criminal Organization,,G37,G37
155,473,Formal Criminal Organization,,G37,G37
155,571,Formal Criminal Organization,,G37,G37
155,1065,Formal Criminal Organization,,G37,G37
155,1775,Formal Criminal Organization,,G37,G37
155,1913,Formal Criminal Organization,,G37,G37
155,2131,Formal Criminal Organization,,G37,G37
156,157,Co-Offenders,a lower level group of drug dealers,G62,G62
157,699,Co-Offenders,a lower level group of drug dealers,G62,G62
156,157,Kinship,brother,G62,G62
166,434,Co-Offenders,btb cocaine supplier,G10,G10
166,623,Co-Offenders,btb cocaine supplier,G10,G10
171,742,Co-Offenders,was hired by 172 to transport marihuana/ cocaine & firearms,G50,NONE
171,345,Co-Offenders,driver contracted by 172 to smuggle drugs/ weapons,G50,G50
171,226,Co-Offenders,"involved in marihuana grow ops, supplying cocaine",G50,G50
171,1435,Co-Offenders,Same Cell,G50,G50
171,1548,Co-Offenders,Same Cell,G50,G50
171,226,Legitimate, owns a res. Purchased 227,G50,G50
171,710,Co-Offenders,Same Cell,G50,"G50, G110"
102,175,Associate/Friendship,Associate,G51,NONE
175,232,Associate/Friendship,Associate,G51,NONE
175,270,Associate/Friendship,Associate,G51,NONE
175,1059,Associate/Friendship,Associate,G51,NONE
175,1067,Associate/Friendship,Associate,G51,NONE
175,1621,Associate/Friendship,Associate,G51,"G49, G99"
175,1621,Associate/Friendship,Associate,G51,"G49, G99"
175,1553,Co-Offenders,Same Cell,G51,G51
175,1755,Co-Offenders,Same Cell,G51,G51
175,1829,Co-Offenders,Same Cell,G51,G51
175,1832,Co-Offenders,Same Cell,G51,G51
175,1005,Co-Offenders,Same Cell,G51,"G51, G99"
175,1879,Associate/Friendship,Associate,G51,G99
175,2153,Associate/Friendship,Associate,G51,G99
175,403,Co-Offenders,Same Cell,G51,G99
144,178,Co-Offenders,associate,"G18, G21",NONE
178,910,Co-Offenders,bt have met re cocaine trafficking,"G18, G21",NONE
178,940,Co-Offenders,associate,"G18, G21",NONE
178,1396,Co-Offenders,associate,"G18, G21",NONE
178,1437,Co-Offenders,associate,"G18, G21",NONE
